Year,Average per Theater
1980,65376.09601
1981,59624.55838
1982,79548.31869
1983,25332.30664
1984,43194.73082
1985,84932.2905
1986,67500.74575
1987,99833.90023
1988,27895.67828
1989,27798.80723
1990,30102.06074
1991,26649.06454
1992,36095.52563
1993,63148.98263
1994,24636.96606
1995,88611.99898
1996,28245.94842
1997,23436.8156
1998,50095.91392
1999,31175.8362
2000,35208.99042
2001,32652.85237
2002,30419.40806
2003,20873.58111
2004,19028.28612
2005,19108.9472
2006,18937.90441
2007,14088.55441
2008,14922.94016
2009,16517.12493
2010,16821.95739
2011,14897.19314
2012,13581.25898
2013,11618.98615
