Year,Season,Count
1980,Winter,19
1980,Spring,32
1980,Summer,25
1980,Fall,36
1981,Winter,21
1981,Spring,33
1981,Summer,31
1981,Fall,28
1982,Winter,29
1982,Spring,29
1982,Summer,33
1982,Fall,40
1983,Winter,29
1983,Spring,41
1983,Summer,43
1983,Fall,46
1984,Winter,29
1984,Spring,36
1984,Summer,38
1984,Fall,53
1985,Winter,43
1985,Spring,39
1985,Summer,49
1985,Fall,56
1986,Winter,50
1986,Spring,46
1986,Summer,51
1986,Fall,58
1987,Winter,49
1987,Spring,46
1987,Summer,67
1987,Fall,72
1988,Winter,52
1988,Spring,67
1988,Summer,55
1988,Fall,68
1989,Winter,61
1989,Spring,56
1989,Summer,56
1989,Fall,64
1990,Winter,56
1990,Spring,52
1990,Summer,48
1990,Fall,63
1991,Winter,58
1991,Spring,58
1991,Summer,62
1991,Fall,69
1992,Winter,55
1992,Spring,60
1992,Summer,63
1992,Fall,59
1993,Winter,61
1993,Spring,58
1993,Summer,62
1993,Fall,73
1994,Winter,62
1994,Spring,62
1994,Summer,56
1994,Fall,71
1995,Winter,64
1995,Spring,77
1995,Summer,65
1995,Fall,75
1996,Winter,76
1996,Spring,72
1996,Summer,76
1996,Fall,90
1997,Winter,68
1997,Spring,87
1997,Summer,73
1997,Fall,73
1998,Winter,76
1998,Spring,94
1998,Summer,77
1998,Fall,87
1999,Winter,78
1999,Spring,108
1999,Summer,89
1999,Fall,111
2000,Winter,77
2000,Spring,86
2000,Summer,102
2000,Fall,100
2001,Winter,81
2001,Spring,87
2001,Summer,88
2001,Fall,105
2002,Winter,85
2002,Spring,120
2002,Summer,130
2002,Fall,148
2003,Winter,100
2003,Spring,136
2003,Summer,132
2003,Fall,138
2004,Winter,115
2004,Spring,146
2004,Summer,142
2004,Fall,147
2005,Winter,117
2005,Spring,136
2005,Summer,138
2005,Fall,156
2006,Winter,131
2006,Spring,153
2006,Summer,149
2006,Fall,170
2007,Winter,118
2007,Spring,173
2007,Summer,163
2007,Fall,179
2008,Winter,136
2008,Spring,167
2008,Summer,143
2008,Fall,155
2009,Winter,110
2009,Spring,134
2009,Summer,142
2009,Fall,140
2010,Winter,107
2010,Spring,144
2010,Summer,144
2010,Fall,132
2011,Winter,127
2011,Spring,153
2011,Summer,163
2011,Fall,158
2012,Winter,149
2012,Spring,180
2012,Summer,158
2012,Fall,180
2013,Winter,129
2013,Spring,185
2013,Summer,200
2013,Fall,178
2014,Winter,8
2014,Spring,0
2014,Summer,0
2014,Fall,0
